popularity,is_collaboration,num_artists,track_name_length,release_year,release_month,release_day_of_week,is_explicit,artist_popularity,artist_followers
77,0,1,21,1993.0,12.0,1.0,1,72,11088183
77,0,1,9,2017.0,12.0,4.0,1,85,21687055
77,0,1,4,2022.0,7.0,3.0,1,79,9701600
77,1,3,42,2015.0,9.0,4.0,1,90,41193212
77,0,1,11,2025.0,3.0,4.0,1,86,15058026
77,0,1,8,2018.0,8.0,4.0,0,90,41193212
77,0,1,14,2017.0,3.0,5.0,1,95,103251589
77,1,2,35,2025.0,7.0,0.0,1,87,24492412
77,0,1,8,2017.0,4.0,4.0,1,86,15058026
77,0,1,21,2003.0,2.0,3.0,1,83,18912162
77,0,1,14,2019.0,5.0,4.0,1,87,24492412
76,1,3,35,2025.0,9.0,1.0,1,95,103251589
76,1,2,28,2019.0,8.0,4.0,1,84,12436593
76,1,2,16,2006.0,1.0,6.0,1,82,6020889
76,1,2,15,2020.0,10.0,4.0,1,84,23853911
76,1,4,21,2011.0,8.0,0.0,1,83,10393555
76,0,1,12,2016.0,5.0,4.0,1,95,103251589
76,0,1,9,2018.0,8.0,4.0,1,90,41193212
76,1,2,32,2021.0,9.0,4.0,1,95,103251589
76,1,2,24,2024.0,11.0,4.0,1,89,44682383
76,0,1,6,2019.0,10.0,4.0,0,89,31088986
76,1,3,15,2015.0,1.0,5.0,0,90,69132631
76,1,2,27,2018.0,5.0,4.0,1,86,15058026
76,0,1,12,2018.0,12.0,4.0,1,84,23853911
76,0,1,27,2025.0,10.0,3.0,1,80,6617029
76,1,2,23,1992.0,12.0,1.0,1,78,15116155
76,0,1,20,1996.0,2.0,1.0,1,78,22592720
76,1,2,25,2018.0,11.0,1.0,1,84,11708960
76,0,1,12,2006.0,1.0,6.0,1,82,6020889
76,1,6,94,2016.0,6.0,4.0,1,86,17967990
76,0,1,13,2020.0,1.0,5.0,1,87,24492412
76,1,3,32,2023.0,7.0,4.0,1,90,41193212
76,1,2,9,2011.0,11.0,1.0,1,95,103251589
76,1,2,32,2021.0,3.0,4.0,1,95,103251589
76,0,1,12,2019.0,1.0,2.0,1,82,27099455
76,1,2,6,2020.0,10.0,4.0,1,84,23853911
76,1,2,26,2019.0,3.0,4.0,1,80,6617029
76,0,1,7,2018.0,6.0,4.0,1,95,103251589
76,0,1,11,1997.0,1.0,2.0,1,78,22592720
76,0,1,12,2020.0,12.0,4.0,1,86,15058026
76,1,2,25,2013.0,1.0,1.0,0,95,103251589
76,1,2,32,2024.0,10.0,0.0,1,87,24492412
75,0,1,19,2002.0,5.0,6.0,1,88,104677300
75,0,1,11,2025.0,7.0,4.0,1,85,14990942
75,0,1,7,2016.0,10.0,4.0,1,85,14990942
